Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
A, Agilent Technologies Inc., 25.31B, 81, Healthcare, Diagnostics & Research, B, B+, B-, B, 22.96, 4.38, 4.83, 5.22, 65.06, 14.6, 17.3, 53.9, 15.7, 8.3, 26.1, 16.21, 7.7, 5.7, -59.8, 5.96, -4.48, 5.96, -4.3, 20.7, 5.6, 10.1, 5.3, 0.8, 1.04, 89.4, 0.5, -9.01, 81.1, 80.1, 1.2484394506866419, 61.4, 1.57, -9.93, 33.55, 1.6, May 21 AMC
AAL, American Airlines Group Inc., 3.90B, 50, Industrials, Airlines, D+, B-, C, D, 0, 0, 0.09, 0, 0, -1.7, 0.3, 60.3, 113.1, -1.2, 25.2, 99.7, -3.32, -19.5, 0, -25.55, -69.59, -69.0, -68.1, -71.55, -12.5, -24.0, -61.6, 4.3, -0.94, 84.9, 1.3, 0.99, 15.0, 9.1, 64.83516483516483, 38.8, 19.51, -73.85, 3.62, 0.4, Apr 30 BMO
AAP, Advance Auto Parts Inc., 8.41B, 82, ConsumerCyclical, Specialty Retail, B, B+, B-, B+, 14.23, 2.53, 0.87, 2.37, 14.51, 5.0, 7.0, 43.9, 13.7, 4.4, 21.1, 23.13, 7.0, 0.4, -12.9, 8.16, -10.05, -22.42, -24.37, -22.27, 1.4, 10.5, -13.9, 0.8, 2.23, 0, 0.4, 0, 126.6, 119.2, 6.20805369127516, 55.4, 2.46, -29.34, 69.82, 1.3, May 19 BMO
AAPL, Apple Inc., 1349.63B, 84, Technology, Consumer Electronics, B-, A-, B-, A-, 20.95, 2.12, 5.04, 17.21, 25.65, 21.4, 24.5, 38.1, 64.5, 17.3, -2.6, 19.67, 11.47, 0.5, 3.8, 8.83, -4.72, 18.16, 5.41, 62.13, 6.3, 13.5, 18.0, 1.0, -0.46, 62.3, 0.1, -2.18, 308.9, 307.6, 0.4226267880363961, 64.9, 0.8, -5.58, 81.79, 1.5, Apr 30 AMC
ABBV, AbbVie Inc., 133.22B, 83, Healthcare, Drug Manufacturers - General, B, A-, B-, B+, 8.63, 4.26, 4.0, 0, 19.0, 25.2, 40.8, 77.1, -103.7, 11.3, 42.3, 7.41, 4.0, 10.1, 22.5, 9.92, -5.67, 4.05, 1.58, 14.17, 7.0, 12.2, 12.1, 5.25, 2.91, 76.5, 0.1, -2.36, 93.6, 88.8, 5.405405405405403, 65.9, 5.74, -8.09, 43.79, 3.1, May 01 BMO
ABC, AmerisourceBergen Corporation, 17.43B, 81, Healthcare, Medical Distribution, A-, B-, B, B, 10.29, 1.34, 0.09, 4.81, 10.86, 0.9, 0.6, 2.7, 51.0, 4.0, -18.6, 9.76, 8.23, 9.5, 3438.9, -4.87, -11.1, -1.77, -1.16, 7.92, -4.4, -2.3, -3.0, 2.0, -0.82, 67.8, 0.2, -34.28, 97.2, 84.1, 15.576694411414993, 43.2, 2.86, -13.82, 16.61, 1.0, May 07 BMO
ABMD, Abiomed Inc., 8.35B, 91, Healthcare, Medical Devices, B, A, A-, B, 37.88, 1.73, 9.93, 7.95, 34.42, 26.3, 29.6, 82.0, 22.2, 19.6, 92.6, 44.4, 24.0, 10.5, 55.8, 15.5, 11.81, -17.57, 8.02, -29.04, 4.2, 15.2, 3.0, 0, -0.01, 0, 0.7, -4.8, 204.4, 185.6, 10.129310344827593, 58.9, 6.95, -35.52, 54.84, 5.0, Apr 30 BMO
ABT, Abbott Laboratories, 162.85B, 83, Healthcare, Medical Devices, B, B+, B, B+, 25.02, 4.38, 5.07, 5.37, 76.35, 11.2, 14.0, 58.5, 11.5, 5.3, 45.2, 29.75, 10.5, 2.5, -8.6, 0.92, 3.5, 8.82, 5.66, 19.96, -1.9, 8.4, 8.2, 1.5, 0.58, 77.1, 0.7, -5.96, 102.1, 92.1, 10.857763300760045, 51.9, 1.22, -8.22, 48.97, 1.4, Apr 16 BMO
ACN, Accenture plc, 118.20B, 79, Technology, Information Technology Services, B, B+, C+, B, 22.3, 3.17, 2.65, 7.42, 29.8, 11.1, 14.7, 31.3, 33.8, 16.0, 11.3, 6.27, 7.37, 6.6, 11.8, 6.22, -15.26, -5.98, -14.52, 2.62, 0.3, 5.7, -5.7, 1.7, -0.08, 74.5, 0.1, -14.11, 188.2, 181.0, 3.9779005524861812, 52.4, 1.34, -16.82, 31.23, 1.4, Mar 19 BMO
ADBE, Adobe Inc., 170.89B, 86, Technology, Software - Infrastructure, C+, A+, B, A-, 31.85, 2.69, 14.65, 16.37, 39.65, 27.7, 30.1, 85.2, 31.4, 15.8, 7.8, 14.42, 20.0, 18.8, 43.4, 6.87, -5.19, 21.83, 7.76, 28.38, 1.5, 7.9, 13.2, 0, 1.28, 89.1, 0.1, -24.46, 339.5, 358.5, -5.299860529986053, 54.8, 1.15, -8.11, 39.3, 1.2, Mar 12 AMC
