Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
A, Agilent Technologies Inc., 23.27B, 57, Healthcare, Medical Laboratories & Research, C+, B+, C+, F, 19.24, 3.36, 4.44, 4.62, 59.82, 14.6, 17.3, 53.9, 15.7, 8.3, 26.1, 10.89, 8.88, 5.7, -59.8, -14.3, -15.89, -1.45, -15.26, -11.78, 3.4, -7.6, -5.8, 1.0, 0.17, 88.6, 0.4, -8.08, 87.1, 68.9, 26.415094339622623, 49.8, 1.84, -20.24, 18.26, 1.6, Feb 18 AMC
AA, Alcoa Corporation, 1.18B, 33, Basic Materials, Aluminum, B-, D, D, F, 0, 0, 0.11, 0.27, 3.85, -10.8, -1.5, 18.2, -24.1, -7.4, -559.7, 95.5, 0, -27.2, -707.0, -52.8, -71.62, -68.5, -71.73, -78.81, -18.0, -49.2, -67.2, 0, -3.35, 88.3, 0.5, 0, 15.8, 6.2, 154.83870967741936, 31.2, 5.4, -79.55, 17.83, 1.4, Apr 15 AMC
AAL, American Airlines Group Inc., 4.78B, 56, Services, Major Airlines, B-, C+, A-, F, 2.76, 0.23, 0.1, 0, 0, 3.7, 6.7, 61.5, 0, 2.8, 25.2, 220.5, 11.28, 3.4, 35.1, -45.71, -65.42, -60.35, -64.92, -70.16, -27.1, -52.6, -62.8, 3.9, 1.18, 85.1, 1.3, 1.05, 22.2, 10.6, 109.43396226415094, 32.4, 15.76, -71.45, 0.5, 0.4, Apr 23 BMO
AAP, Advance Auto Parts Inc., 6.22B, 60, Services, Auto Parts Stores, A, B-, B-, F, 9.29, 1.23, 0.64, 1.73, 10.73, 5.0, 7.0, 43.9, 13.7, 4.4, 21.1, 13.06, 10.5, 0.4, -12.9, -33.48, -44.54, -45.75, -44.8, -48.51, -13.3, -27.9, -39.8, 1.1, -6.66, 0, 0.4, 0, 140.7, 89.1, 57.91245791245792, 37.0, 3.21, -51.57, 23.95, 1.3, Feb 18 BMO
AAPL, Apple Inc., 1117.97B, 71, Consumer Goods, Electronic Equipment, B, A-, B, D, 16.07, 1.62, 4.18, 12.08, 22.41, 21.5, 24.7, 37.9, 60.2, 17.1, -2.6, 18.38, 11.91, 8.9, 19.3, -19.1, -18.45, 11.86, -16.59, 25.38, -4.4, -15.3, -2.2, 1.2, -1.16, 62.0, 0.1, -3.88, 313.5, 240.9, 30.136986301369863, 43.3, 0.88, -25.29, 43.85, 1.6, Apr 28 AMC
ABBV, AbbVie Inc., 112.71B, 63, Healthcare, Drug Manufacturers - Major, B-, B, B+, F, 7.25, 2.92, 3.39, 0, 17.59, 23.6, 39.0, 77.1, -95.6, 11.9, 42.3, 8.78, 4.88, 4.8, 260.0, -18.11, -16.1, 4.16, -15.15, -9.57, -1.8, -10.5, -4.4, 6.28, 1.62, 76.4, 0.1, 0.44, 94.0, 73.4, 28.06539509536784, 47.2, 5.53, -23.23, 20.11, 3.2, May 08 BMO
ABC, AmerisourceBergen Corporation, 17.77B, 54, Services, Drugs Wholesale, B, C, C-, D+, 10.18, 3.29, 0.1, 5.85, 12.94, 0.4, 0.5, 2.8, 22.1, 1.7, -18.6, 7.03, 8.29, 5.4, -45.8, -7.18, -1.4, 3.59, -1.33, 11.78, 0, -4.9, -3.0, 2.0, -1.19, 68.5, 0.2, -35.77, 98.2, 86.2, 13.921113689095128, 49.1, 3.08, -13.96, 18.91, 0.9, Apr 30 BMO
ABMD, Abiomed Inc., 6.63B, 71, Healthcare, Medical Appliances & Equipment, B, A, B+, F, 31.59, 1.12, 7.88, 6.18, 25.83, 29.1, 30.5, 82.6, 24.7, 21.8, 92.6, -3.12, 24.0, 10.5, 55.8, -7.1, -15.12, -12.31, -16.01, -49.72, -2.0, -11.7, -25.4, 0, 6.96, 0, 0.7, -1.22, 199.0, 144.4, 37.81163434903046, 42.4, 9.07, -50.33, 20.39, 5.0, May 07 BMO
ABT, Abbott Laboratories, 142.44B, 65, Healthcare, Medical Appliances & Equipment, C+, B, B+, D, 19.89, 3.59, 4.46, 4.52, 63.93, 11.6, 14.0, 58.6, 11.7, 5.4, 45.2, 12.48, 10.95, 7.1, 41.6, -3.23, -8.64, -0.11, -8.54, -0.08, 4.6, -3.6, -5.4, 1.8, 0.61, 77.2, 0.3, -10.21, 99.2, 76.5, 29.67320261437909, 52.1, 1.32, -14.07, 28.94, 1.4, Apr 16 BMO
ACN, Accenture plc, 108.79B, 58, Technology, Information Technology Services, B-, B+, B, F, 19.31, 2.76, 2.44, 6.44, 27.43, 11.1, 14.7, 31.3, 33.8, 16.0, 11.3, 6.44, 7.37, 6.6, 11.8, -17.26, -25.64, -15.46, -25.79, -11.81, -3.1, -16.8, -19.0, 2.0, 0.48, 74.8, 0.1, -18.28, 186.0, 154.6, 20.3104786545925, 43.5, 1.19, -27.78, 13.94, 1.4, Mar 19 BMO
ADBE, Adobe Inc., 154.51B, 66, Technology, Application Software, D+, A, B+, D, 27.13, 2.39, 13.25, 14.0, 35.85, 27.7, 30.1, 85.2, 31.4, 15.8, 7.8, 14.78, 19.25, 18.8, 43.4, -16.46, -9.11, 13.99, -7.84, 11.96, -2.6, -11.0, -1.4, 0, -0.79, 87.9, 0.1, -23.03, 338.7, 301.2, 12.450199203187251, 45.2, 1.22, -21.41, 19.14, 1.2, Mar 12 AMC
ADI, Analog Devices Inc., 33.73B, 43, Technology, Semiconductor - Integrated Circuits, C+, C, C+, F, 16.2, 3.82, 5.86, 2.76, 0, 0, 0, 66.4, 0, 0, 690.0, 19.06, 7.1, -15.4, -42.3, -22.02, -27.18, -19.52, -26.2, -20.16, -5.4, -17.4, -21.4, 2.8, -0.85, 90.3, 0.1, -27.25, 124.4, 84.0, 48.0952380952381, 43.8, 1.24, -31.11, 10.91, 1.1, Feb 19 BMO
ADM, Archer-Daniels-Midland Company, 19.68B, 47, Consumer Goods, Farm Products, B-, C-, C, F, 9.55, 0, 0.3, 1.0, 0, 2.1, 2.1, 6.4, 7.3, 3.2, -19.9, 10.41, -8.8, 2.4, 93.0, -12.8, -25.55, -13.57, -25.93, -18.69, 0.7, -13.5, -16.4, 4.1, 0.74, 81.1, 0.4, -2.19, 48.3, 33.8, 42.89940828402367, 46.1, 1.61, -27.27, 18.71, 1.6, Apr 29 AMC
ADP, Automatic Data Processing Inc., 59.25B, 62, Technology, Business Software & Services, B-, B+, B+, F, 19.72, 1.57, 4.08, 10.58, 44.52, 17.0, 22.0, 43.0, 46.1, 5.6, 12.3, 9.83, 14.85, 5.1, 18.1, -19.98, -22.76, -16.01, -22.84, -18.34, -1.5, -16.5, -19.7, 2.7, -0.92, 82.1, 0.1, -31.16, 173.6, 129.7, 33.84734001542021, 45.1, 1.6, -27.85, 27.58, 1.0, Apr 29 BMO
ADS, Alliance Data Systems Corporation, 1.39B, 55, Services, Business Services, A+, B, D+, F, 1.5, 0.66, 0.25, 0.83, 1.46, 4.8, 23.4, 53.3, 13.9, 0.9, -37.0, 5.83, 3.97, -0.2, -49.1, -64.94, -74.85, -77.02, -74.79, -84.24, -33.7, -63.4, -75.0, 8.91, 4.3, 96.1, 2.4, -76.32, 94.0, 31.0, 203.2258064516129, 26.7, 7.09, -84.54, 37.93, 2.0, Apr 30 BMO
ADSK, Autodesk Inc., 34.19B, 52, Technology, Technical & System Software, C, C+, A-, F, 22.86, 0, 10.44, 0, 25.1, 6.6, 10.5, 90.1, -114.4, 4.1, 327.8, 40.22, 0, 22.0, 165.6, -28.4, -27.04, -4.05, -25.3, -17.76, -10.7, -24.2, -17.7, 0, -2.36, 97.1, 0.1, -2.18, 211.1, 139.2, 51.65229885057472, 39.0, 2.38, -35.23, 9.31, 0.8, Feb 27 AMC
AEE, Ameren Corporation, 17.62B, 63, Utilities, Electric Utilities, B+, B, C+, D-, 18.89, 4.37, 2.98, 2.19, 10.57, 14.0, 21.4, 85.0, 10.5, 2.9, 1.1, 9.24, 4.9, -7.3, 37.8, -17.69, -5.76, -8.99, -6.68, -0.79, -3.1, -9.9, -7.2, 2.7, -0.37, 77.1, 0.6, -3.74, 75.0, 67.7, 10.78286558345642, 47.0, 1.35, -18.24, 22.01, 0.6, Feb 26 BMO
AEP, American Electric Power Company Inc., 37.27B, 52, Utilities, Electric Utilities, B+, B, C-, F, 16.48, 3.21, 2.39, 1.93, 13.18, 12.3, 16.7, 79.7, 9.8, 2.6, 0.1, 7.05, 6.17, -4.9, -56.4, -23.07, -17.84, -16.65, -18.75, -7.38, -8.4, -18.3, -16.8, 3.6, 0.22, 77.7, 0.1, -22.83, 98.1, 74.5, 31.67785234899328, 40.7, 1.7, -26.85, 17.89, 0.4, Feb 20 BMO
AES, The AES Corporation, 8.70B, 42, Utilities, Electric Utilities, B-, C+, D+, F, 8.42, 3.27, 0.85, 2.9, 0, 3.0, 18.6, 23.1, 9.6, 0.9, -70.6, 8.86, 8.8, -7.3, -155.8, -26.86, -34.9, -16.94, -34.47, -27.8, -0.4, -24.2, -24.4, 4.2, 1.51, 97.7, 0.3, 2.71, 18.4, 12.8, 43.749999999999986, 42.2, 1.49, -38.58, 60.79, 1.0, Feb 28 BMO
