Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
A, Agilent Technologies Inc., 23.27B,67, Healthcare, Medical Laboratories & Research, C+, B+, B-, C-,19.24,3.36,4.44,4.62,59.82,14.6,17.3,53.9,15.7,8.3,26.1,10.89,8.88,5.7,-59.8,-14.3,-15.89,-1.45,-15.26,-11.78,1.4,-9.5,-8.2,1,0.17,88.6,0.4,-8.08,87.1,72.2,20.63711911,47.1,1.84,-22.26,15.26,1.6, Feb 18 AMC
AA, Alcoa Corporation, 1.18B,33, Basic Materials, Aluminum, B-, D, D, F,0,0,0.11,0.27,3.85,-10.8,-1.5,18.2,-24.1,-7.4,-559.7,95.5,0,-27.2,-707,-52.8,-71.62,-68.5,-71.73,-78.81,-15.9,-49.1,-67.6,0,-3.35,88.3,0.5,0,15.8,6,163.3333333,29.2,5.4,-79.85,16.09,1.4, Apr 15 AMC
AAL, American Airlines Group Inc., 4.78B,57, Services, Major Airlines, B-, C+, A-, F,2.76,0.23,0.1,0,0,3.7,6.7,61.5,0,2.8,25.2,220.5,11.28,3.4,35.1,-45.71,-65.42,-60.35,-64.92,-70.16,-30.6,-55.2,-65.2,3.9,1.18,85.1,1.3,1.05,22.2,10,122,30.6,15.76,-73.44,-6.4,0.4, Apr 23 BMO
AAP, Advance Auto Parts Inc., 6.22B,60, Services, Auto Parts Stores, A, B-, B-, F,9.29,1.23,0.64,1.73,10.73,5,7,43.9,13.7,4.4,21.1,13.06,10.5,0.4,-12.9,-33.48,-44.54,-45.75,-44.8,-48.51,-14.9,-29.9,-41.9,1.1,-6.66,0,0.4,0,140.7,88.4,59.16289593,34.4,3.21,-53.37,19.35,1.3, Feb 18 BMO
AAPL, Apple Inc., 1117.97B,82, Consumer Goods, Electronic Equipment, B, A-, B+, C+,16.07,1.62,4.18,12.08,22.41,21.5,24.7,37.9,60.2,17.1,-2.6,18.38,11.91,8.9,19.3,-19.1,-18.45,11.86,-16.59,25.38,-4.9,-16.2,-3.8,1.2,-1.16,62,0.1,-3.88,313.5,244.9,28.01143324,41.9,0.88,-26.45,41.62,1.6, Apr 28 AMC
ABBV, AbbVie Inc., 112.71B,72, Healthcare, Drug Manufacturers - Major, B-, B, B+, D+,7.25,2.92,3.39,0,17.59,23.6,39,77.1,-95.6,11.9,42.3,8.78,4.88,4.8,260,-18.11,-16.1,4.16,-15.15,-9.57,-3,-12.2,-6.5,6.28,1.62,76.4,0.1,0.44,94,75.1,25.16644474,44.6,5.53,-24.91,17.47,3.2, May 08 BMO
ABC, AmerisourceBergen Corporation, 17.77B,64, Services, Drugs Wholesale, B+, C, C-, C+,10.18,3.29,0.1,5.85,12.94,0.4,0.5,2.8,22.1,1.7,-18.6,7.03,8.29,5.4,-45.8,-7.18,-1.4,3.59,-1.33,11.78,-2.7,-7.5,-5.9,2,-1.19,68.5,0.2,-35.77,98.2,83.8,17.18377088,46.4,3.08,-16.53,15.35,0.9, Apr 30 BMO
ABMD, Abiomed Inc., 6.63B,76, Healthcare, Medical Appliances & Equipment, B, A, A-, D,31.59,1.12,7.88,6.18,25.83,29.1,30.5,82.6,24.7,21.8,92.6,-3.12,24,10.5,55.8,-7.1,-15.12,-12.31,-16.01,-49.72,-2.8,-12.3,-26.1,0,6.96,0,0.7,-1.22,199,143.2,38.96648045,40.9,9.07,-50.93,18.95,5, May 07 BMO
ABT, Abbott Laboratories, 142.44B,73, Healthcare, Medical Appliances & Equipment, C+, B, A-, C,19.89,3.59,4.46,4.52,63.93,11.6,14,58.6,11.7,5.4,45.2,12.48,10.95,7.1,41.6,-3.23,-8.64,-0.11,-8.54,-0.08,5.4,-2.7,-4.8,1.8,0.61,77.2,0.3,-10.21,99.2,79.4,24.93702771,52.4,1.32,-13.51,29.78,1.4, Apr 16 BMO
ACN, Accenture plc, 108.79B,66, Technology, Information Technology Services, B, B+, B, D-,19.31,2.76,2.44,6.44,27.43,11.1,14.7,31.3,33.8,16,11.3,6.44,7.37,6.6,11.8,-17.26,-25.64,-15.46,-25.79,-11.81,-4.5,-18.2,-20.8,2,0.48,74.8,0.1,-18.28,186,156.2,19.07810499,42,1.19,-29.4,11.39,1.4, Mar 19 BMO
ADBE, Adobe Inc., 154.51B,77, Technology, Application Software, C, A, A-, C+,27.13,2.39,13.25,14,35.85,27.7,30.1,85.2,31.4,15.8,7.8,14.78,19.25,18.8,43.4,-16.46,-9.11,13.99,-7.84,11.96,-5.3,-13.8,-4.8,0,-0.79,87.9,0.1,-23.03,338.7,303.9,11.45113524,42.6,1.22,-24.12,15.02,1.2, Mar 12 AMC
ADI, Analog Devices Inc., 33.73B,47, Technology, Semiconductor - Integrated Circuits, C+, C, C+, F,16.2,3.82,5.86,2.76,0,0,0,66.4,0,0,690,19.06,7.1,-15.4,-42.3,-22.02,-27.18,-19.52,-26.2,-20.16,-5.5,-18,-22.3,2.8,-0.85,90.3,0.1,-25.85,124.4,87.7,41.84720639,42.6,1.24,-31.98,9.5,1.1, Feb 19 BMO
ADM, Archer-Daniels-Midland Company, 19.68B,53, Consumer Goods, Farm Products, B-, C-, C+, D-,9.55,0,0.3,1,0,2.1,2.1,6.4,7.3,3.2,-19.9,10.41,-8.8,2.4,93,-12.8,-25.55,-13.57,-25.93,-18.69,2.3,-12.1,-15.4,4.1,0.74,81.1,0.4,-2.19,48.3,34.3,40.81632653,46.7,1.61,-26.53,19.92,1.6, Apr 29 AMC
ADP, Automatic Data Processing Inc., 59.25B,69, Technology, Business Software & Services, B, B+, B+, D-,19.72,1.57,4.08,10.58,44.52,17,22,43,46.1,5.6,12.3,9.83,14.85,5.1,18.1,-19.98,-22.76,-16.01,-22.84,-18.34,-2.7,-18,-21.5,2.7,-0.92,82.1,0.1,-31.16,173.6,131.5,32.01520913,43.2,1.6,-29.51,24.63,1, Apr 29 BMO
ADS, Alliance Data Systems Corporation, 1.39B,55, Services, Business Services, A+, B, D+, F,1.5,0.66,0.25,0.83,1.46,4.8,23.4,53.3,13.9,0.9,-37,5.83,3.97,-0.2,-49.1,-64.94,-74.85,-77.02,-74.79,-84.24,-34.5,-65,-76.5,8.91,4.3,96.1,2.4,-76.32,94,28.2,233.3333333,24.8,7.09,-85.54,29.01,2, Apr 30 BMO
ADSK, Autodesk Inc., 34.19B,56, Technology, Technical & System Software, C, C+, A-, F,22.86,0,10.44,0,25.1,6.6,10.5,90.1,-114.4,4.1,327.8,40.22,0,22,165.6,-28.4,-27.04,-4.05,-25.3,-17.76,-8.1,-22.7,-16.6,0,-2.36,97.1,0.1,-2.17,211.1,137,54.08759124,40.1,2.38,-34.39,10.72,0.8, Feb 27 AMC
